ORIG_PARCEL_ID,YrBuilt_wt,YrBuilt_main,EffYr_wt,EffYr_main,BldgGrossSqFt,BldgNetSqFt,name,address,SITUS_ZIP_NR,SITUS_ADDRESS,OBJECTID,FIPS_NR,COUNTY_NM,PARCEL_ID_NR,SUB_ADDRESS,SITUS_CITY_NM,LANDUSE_CD,VALUE_LAND,VALUE_BLDG,DATA_LINK,FILE_DATE,GlobalID,Shape__Area,Shape__Length,name_orig,school,established,neighborhood,nickname,spring_2023_enrollment
0269001275,1927,1927,2019,2019,78880,78880,magnolia,"2418 28th Ave. W
Seattle, WA 98199",98199,2418 28TH AVE W,1345934,033,King,033-0269001275,ARLINGTON HEIGHTS ADD  & POR VAC ST,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0269001275,1/20/2023 8:00:00 AM,ccdad903-21af-4a75-86ca-86a6b031a37a,106436.256896973,1311.28038079996,Magnolia Elementary,Magnolia,1927,Magnolia,Orcas,358
0369000400,1989,1989,2003,2003,52546,52546,lawton,"4000 27th Ave. W
Seattle, WA 98199",98199,4017 26TH AVE W,1339143,033,King,033-0369000400,BAKER THE ADD   & POR VAC STS A*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0369000400,1/20/2023 8:00:00 AM,7aa25fd8-316d-48c3-956a-6271f99f2231,145681.403930664,1831.50847399753,Lawton Elementary,Lawton[k],1913,Magnolia,Dolphins,333
0439000615,1955,1955,1980,1980,45000,45000,wedgwood,"2720 NE 85th St.
Seattle, WA 98115",98115,2720 NE 85TH ST,1334229,033,King,033-0439000615,BALCHS ALBERT WEDGWOOD #4  & LOTS 1 THRU 9*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0439000615,1/20/2023 8:00:00 AM,1e48c565-02fc-434e-9b3b-f880eb0fe8c2,194231.336486816,2019.63318517561,Wedgwood Elementary,Wedgwood,1955,Wedgwood,Dolphins,359
0625049048,1924,1913,2019,2019,63847,63847,daniel bagley,"7821 Stone Ave. N
Seattle, WA 98103",98103,7821 STONE AVE N,1323403,033,King,033-0625049048,W 660 FT OF N 395 FT OF GL 2 IN NE 1/4 OF STR 06-*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0625049048,1/20/2023 8:00:00 AM,33fe5800-344c-4b9c-9543-88e1b7ac61a5,172086.764648438,1673.96690147166,Daniel Bagley Elementary,Daniel Bagley,1907,Green Lake,Bees,323
0809000005,1989,1989,2001,2001,50885,50885,john hay,"201 Garfield St.
Seattle, WA 98109",98109,201 GARFIELD ST,1312075,033,King,033-0809000005,BIGELOWS ADD   ALL BLKS 3 & 4 *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=0809000005,1/20/2023 8:00:00 AM,bd633e2d-6fb2-4d51-83b3-2d90ab9df7a1,142245.074584961,1612.51167424174,John Hay Elementary,John Hay,1905,Queen Anne,Jaguars,275
1102000138,1961,1961,1995,1995,60800,60800,graham hill,"5149 S Graham St.
Seattle, WA 98118",98118,5149 S GRAHAM ST,1290369,033,King,033-1102000138,BRIGHTON BEACH   LOT 2 LESS S 18*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1102000138,1/20/2023 8:00:00 AM,b7eaf9d5-866d-44e8-a67f-f7ffa4296bcd,196651.081420898,2251.06268449766,Graham Hill Elementary,Graham Hill,1961,Seward Park,Whales,266
1125049134,1958,1958,1975,1975,36212,36212,sand point,"6208 60th Ave. NE
Seattle, WA 98115",98115,6200 60TH AVE NE,1286813,033,King,033-1125049134,N 5/6 OF E 1/10 OF SE 1/4 OF NW 1/4 OF NW 1/4 &*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1125049134,1/20/2023 8:00:00 AM,20557a91-f1c2-4e40-81f5-4e28bbc937e6,171443.162231445,2299.67845822844,Sand Point Elementary,Sand Point,1958,Windermere,Squirrels,199
1324039116,1999,1999,2005,2005,68509,68509,pathfinder,"1901 SW Genesee St.
Seattle, WA 98106",98106,1901 SW GENESEE ST,1267264,033,King,033-1324039116,BEG SE COR STR 13-24-3 TH ALG S LN SD SEC S 89-17*,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1324039116,1/20/2023 8:00:00 AM,3ca09820-a938-4d22-a8cb-18c28c0d66dd,608879.69732666,3186.63007704109,Pathfinder K-8,Pathfinder,1994,Delridge,NA,465
1337801270,1904,1900,1988,1990,34724,34724,stevens,"1242 18th Ave. E
Seattle, WA 98112",98112,1800 E GALER ST,1263904,033,King,033-1337801270,CAPITOL HILL ADD DIV # 4  1 TO 11 INCL & *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1337801270,1/20/2023 8:00:00 AM,24f316ef-6aea-411c-9eb3-5f96e3d51692,105904.949707031,1387.2735308952,Stevens Elementary,Stevens,1906,Capitol Hill,N/A,165
1454100350,1959,1959,1965,1965,32590,32590,cedar park,"3737 NE 135th St.
Seattle, WA 98125",98125,3737 NE 135TH ST,1251690,033,King,033-1454100350,CEDAR PARK # 2   1-2-3 & 4 LESS *,SEATTLE,68,0,0,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=1454100350,1/20/2023 8:00:00 AM,ada47467-f246-426a-82a4-11aad8df7cf6,190914.374450684,1779.56905641842,Cedar Park Elementary,Cedar Park,1959,Lake City,Wolves,247
