school,established,neighborhood,nickname,spring_2023_enrollment,name
Adams,1889,Ballard,Eagles,319,adams
Alki,1913,Alki,Seagulls,298,alki
Arbor Heights,1948,Arbor Heights,Jr. Seahawks,518,arbor heights
Bailey Gatzert,1921,Atlantic,Bears,364,bailey gatzert
Daniel Bagley,1907,Green Lake,Bees,323,daniel bagley
Beacon Hill Int'l,1899,Beacon Hill,Tigers,341,beacon hill international
Bryant,1919,Ravenna,Hawks,487,bryant
Frantz Coe,1905,Queen Anne,Cougars,456,frantz coe
Cascadia,2013,Green Lake,Dragons,504,cascadia
Cedar Park,1959,Lake City,Wolves,247,cedar park
Concord Int'l,1914,South Park,N/A,304,concord international
B.F. Day,1892,Fremont,Sun Dragons,397,benjamin franklin day
Dearborn Park Int'l,1971,Beacon Hill,Dragons,355,dearborn park international
Decatur,2017,Wedgwood,Gators,208,decatur
Dunlap,1898,Dunlap,Dolphins,297,dunlap
Emerson,1909,Rainier Beach,Eagles,329,emerson
Fairmount Park,1955,Fairmount Park,Falcons,442,fairmount park
Gatewood,1910,Gatewood,Gators,366,gatewood
Genesee Hill,2016,West Seattle,Red Foxes,514,genesee hill
Graham Hill,1961,Seward Park,Whales,266,graham hill
Green Lake,1902,Green Lake,Dragons,339,green lake
Greenwood,1909,Greenwood,Stars,346,greenwood
Hawthorne[f],1913,Mount Baker,Phoenix,360,hawthorne
John Hay,1905,Queen Anne,Jaguars,275,john hay
Highland Park,1919,Delridge,Mustangs,305,highland park
Kimball[i],1971,North Beacon Hill,Cougars,376,kimball
Lafayette,1893,North Admiral,Leopards,491,lafayette
Laurelhurst,1928,Laurelhurst,Bears,280,laurelhurst
Lawton[k],1913,Magnolia,Dolphins,333,lawton
Leschi,1909,Leschi,Bulldog Pups,305,leschi
Lowell,1890,Capitol Hill,Dragons,385,lowell
Loyal Heights,1919,Ballard,Beavers,499,loyal heights
Madrona,2000,Madrona,Panthers,231,madrona
Magnolia,1927,Magnolia,Orcas,358,magnolia
Maple,1865,Beacon Hill,Monarchs,436,maple
Thurgood Marshall,1909,Atlantic,Bulldog Pups,477,thurgood marshall
Martin Luther King Jr.,1904,Brighton,,286,martin luther king jr
McDonald Int'l,1914,Wallingford,Scotties,456,mcdonald international
McGilvra,1899,Madison Park,Wildcats,222,mcgilvra
Montlake,1924,Montlake,Wolves,181,montlake
John Muir,1910,Mount Baker,Lions,346,john muir
North Beach,1958,Ballard,Seals,365,north beach
James Baldwin,1956,Northgate,Eagles,213,james baldwin
Olympic Hills,1954,Olympic Hills,Otters,502,olympic hills
Olympic View,1903,Maple Leaf,Eagles,365,olympic view
Queen Anne,NA,Queen Anne,Explorers,199,queen anne
John Rogers,1956,Meadowbrook,Otters,262,john rogers
Rainier View,1953,Rainier Valley,Tigers,230,rainier view
Rising Star,1907,South Beacon Hill,Firebirds,342,rising star
Roxhill,1958,Roxhill,Stars,290,roxhill
Sacajawea,1955,Maple Leaf,Eagles,231,sacajawea
Sand Point,1958,Windermere,Squirrels,199,sand point
Sanislo,1970,Riverview,,180,sanislo
John Stanford Int'l,1891,Wallingford,,429,john stanford international
Stevens,1906,Capitol Hill,N/A,165,stevens
Thornton Creek,1961,Wedgwood,Dragonflies,456,thornton creek
View Ridge,1948,View Ridge,Otters,305,view ridge
Viewlands,1954,Broadview,Bears,272,viewlands
Wedgwood,1955,Wedgwood,Dolphins,359,wedgwood
West Seattle,NA,West Seattle,Huskies,386,west seattle
West Woodland,1910,Ballard,Wildcats,397,west woodland
Whittier,1908,Ballard,Wildcats,364,whittier
Wing Luke,1967,South Beacon Hill,Dragons,321,wing luke
Catharine Blaine,1998,Magnolia,Tigers,460,catharine blaine
Louisa Boren STEM,2012,Delridge,,490,louisa boren stem
Broadview-Thomson,2008,Broadview,Bulldogs,567,broadviewthomson
Cascade Parent Partnership,NA,Queen Anne,,327,cascade parent partnership
Hazel Wolf,2009,"Pinehurst, Seattle",,720,hazel wolf
Licton Springs,2014,"Licton Springs, Seattle",,118,licton springs
ORCA,1989,Columbia City,,392,orca
Pathfinder,1994,Delridge,,465,pathfinder
Salmon Bay,1999,Ballard,Panthers,660,salmon bay
South Shore,NA,Rainier Beach,Sea Dragons,607,south shore
TOPS,1976,Eastlake,Falcons,478,tops
